entity1,relations,entity2
Q40089,P186,Q42302
Q40089,P186,Q45190
Q244025,P47,Q24639
Q235356,P618,Q726
Q1122074,P17,Q30
Q1122074,P452,Q418
Q93288,P1542,Q2648051
Q209121,P2283,Q9128
Q209121,P1056,Q44432
Q207766,P462,Q3133
Q11573,P111,Q36253
Q11573,P111,Q126017
Q11573,P4934,Q11574
Q39369,P111,Q11652
Q1348042,P136,Q184793
Q165447,P2670,Q14674
Q165447,P2283,Q127418
Q165447,P186,Q127418
Q2275630,P17,Q183
Q2275630,P159,Q1726
Q17763215,P495,Q30
Q17763215,P915,Q1781
Q558363,P927,Q7364
Q558363,P2670,Q7364
Q457174,P2283,Q2995606
Q1579570,P178,Q1778572
Q5245917,P136,Q8261
Q5245917,P495,Q30
Q130018,P17,Q30
Q79422,P17,Q30
Q3154542,P138,Q677
Q4649925,P17,Q408
Q8815,P17,Q30
Q5283,P186,Q623
Q127583,P462,Q1088
Q127583,P462,Q429220
Q1342790,P306,Q11368
Q1342790,P277,Q42478
Q1342790,P1056,Q7397
Q1339044,P17,Q30
Q1339044,P159,Q5083
Q1339044,P1056,Q7397
Q1339044,P452,Q7397
Q1339044,P495,Q30
Q869842,P495,Q30
Q1145523,P1382,Q380962
Q365,P190,Q24826
Q365,P190,Q38511
Q365,P190,Q17151
Q365,P190,Q406
Q365,P17,Q183
Q365,P17,Q142
Q10998,P105,Q7432
Q174757,P176,Q835702
Q174757,P178,Q835702
Q1449,P17,Q38
Q1449,P17,Q142
Q162633,P138,Q381885
Q49233,P17,Q30
Q7575651,P495,Q408
Q152433,P17,Q30
Q152433,P1056,Q7397
Q43196,P190,Q1726
Q43196,P190,Q42308
Q43196,P190,Q220
Q43196,P17,Q30
Q22690,P17,Q142
Q22690,P17,Q183
Q39689,P1366,Q2329
Q23488,P5236,Q200
Q23488,P5236,Q201
Q16491,P618,Q525
Q16491,P462,Q193788
Q503,P462,Q943
Q503,P462,Q3133
Q503,P462,Q47071
Q691652,P178,Q628051
Q3806,P17,Q183
Q2973,P17,Q183
Q2973,P190,Q25804
Q79988,P5236,Q200
Q79988,P5236,Q201
Q83264,P5236,Q200
Q433353,P5236,Q201
Q587465,P5236,Q200
Q587465,P5236,Q23350
Q131734,P1056,Q44
Q140686,P2389,Q837675
Q140686,P2389,Q865588
Q26087,P17,Q20
Q6981958,P17,Q30
Q790063,P495,Q30
Q501758,P17,Q30
Q388,P737,Q11368
Q388,P400,Q182933
Q388,P400,Q209860
Q170167,P2868,Q12870
Q482798,P111,Q36253
Q19874606,P915,Q408
Q19874606,P495,Q408
Q53706,P3712,Q200535
Q53706,P2283,Q3858303
Q40840,P190,Q25804
Q40840,P17,Q33
Q37122,P22,Q34201
Q37122,P1441,Q35160
Q37122,P1441,Q8275
Q37122,P7047,Q41127
Q1362411,P641,Q2736
Q1362411,P17,Q30
Q1362411,P159,Q49255
Q1362411,P2541,Q30
Q1362411,P4794,Q110
Q3126,P17,Q183
Q489375,P275,Q178285
Q1308239,P2868,Q1148747
Q8047,P680,Q82264
Q7020,P2579,Q7162
Q390551,P17,Q30
Q223407,P1056,Q7397
Q1140630,P17,Q408
Q1140630,P17,Q664
Q1140630,P4794,Q110
Q33602,P105,Q7432
Q107711,P3828,Q7434
Q712467,P5236,Q200
Q812880,P1312,Q164
Q5680079,P17,Q34
Q83360,P927,Q33767
Q30,P530,Q183
Q30,P530,Q159
Q30,P530,Q408
Q30,P530,Q801
Q30,P530,Q155
Q30,P530,Q403
Q30,P530,Q38
Q30,P530,Q414
Q30,P530,Q668
Q30,P530,Q334
Q30,P530,Q20
Q30,P530,Q142
Q30,P530,Q902
Q30,P530,Q928
Q30,P530,Q115
Q30,P530,Q184
Q30,P530,Q43
Q30,P530,Q227
Q30,P530,Q96
Q30,P530,Q41
Q30,P530,Q34
Q30,P530,Q458
Q30,P530,Q55
Q30,P530,Q31
Q30,P530,Q948
Q30,P530,Q1045
Q30,P530,Q15180
Q30,P530,Q39
Q30,P530,Q398
Q30,P530,Q399
Q30,P530,Q657
Q30,P530,Q225
Q30,P530,Q298
Q30,P530,Q424
Q30,P530,Q224
Q30,P530,Q35
Q30,P530,Q33
Q30,P530,Q229
Q30,P530,Q790
Q30,P530,Q1006
Q30,P530,Q769
Q30,P530,Q189
Q30,P530,Q252
Q30,P530,Q8646
Q30,P530,Q833
Q30,P530,Q843
Q30,P530,Q664
Q30,P530,Q218
Q30,P530,Q211
Q30,P530,Q817
Q30,P530,Q1029
Q30,P36,Q60
Q30,P36,Q1345
Q30,P463,Q37143
Q30,P463,Q19771
Q30,P47,Q96
Q30,P47,Q159
Q30,P47,Q778
Q30,P47,Q790
Q30,P47,Q15180
Q30,P793,Q361
Q30,P793,Q362
Q30,P38,Q4917
Q30,P6,Q9916
Q30,P6,Q9696
Q30,P6,Q9640
Q30,P6,Q9588
Q30,P6,Q9960
Q30,P610,Q130018
Q30,P150,Q1261
Q30,P150,Q779
Q30,P150,Q812
Q30,P150,Q782
Q30,P150,Q1221
Q30,P150,Q1546
Q30,P150,Q1391
Q30,P150,Q1527
Q30,P150,Q1494
Q30,P150,Q1207
Q30,P150,Q1649
Q30,P150,Q816
Q30,P150,Q1393
Q30,P2936,Q14759
Q647003,P112,Q219203
Q559590,P17,Q183
Q548838,P138,Q830043
Q188613,P140,Q5043
Q1022,P17,Q183
Q1022,P190,Q10690
Q1022,P190,Q1156
Q375,P495,Q31
Q1207,P17,Q30
Q1207,P47,Q1948
Q1207,P47,Q1527
Q1207,P131,Q30
Q42478,P737,Q305876
Q42478,P737,Q213970
Q42478,P306,Q388
Q28425,P171,Q7377
Q780172,P400,Q182933
Q679325,P17,Q30
Q80228,P129,Q40050
Q80228,P129,Q11435
Q80228,P186,Q11469
Q81294,P1072,Q691652
Q81294,P1072,Q2192
Q81294,P1072,Q562334
Q81294,P1072,Q174349
Q81294,P1072,Q363369
Q81294,P1072,Q535473
Q81294,P1072,Q139191
Q81294,P1072,Q224174
Q81294,P1072,Q407509
Q81294,P1072,Q215106
Q81294,P1072,Q1570391
Q81294,P1072,Q136218
