entity1,relations,entity2
Q12147,P31,Q190258
Q12147,P461,Q12136
Q12147,P2579,Q11190
Q131408,P31,Q39546
Q131408,P279,Q39546
Q173799,P366,Q180910
Q44432,P279,Q11379
Q3962655,P461,Q188572
Q23392,P279,Q283
Q23392,P1269,Q283
Q23392,P186,Q283
Q474200,P361,Q102066
Q474200,P361,Q11023
Q342551,P279,Q1148747
Q5166129,P279,Q21255975
Q5166129,P1542,Q21255975
Q628523,P279,Q11028
Q628523,P366,Q11024
Q628523,P1552,Q1530061
Q11410,P279,Q173799
Q8386,P279,Q79529
Q8386,P1889,Q12140
Q1121708,P279,Q2995644
Q16644043,P279,Q49848
Q16644043,P279,Q730920
Q38926,P279,Q11024
Q872,P279,Q15078788
Q26540,P397,Q2
Q11635,P279,Q43229
Q878070,P279,Q211364
Q1370714,P186,Q287
Q2625603,P279,Q1949963
Q2625603,P279,Q322481
Q42008,P279,Q7748
Q1313,P156,Q1314
Q1313,P461,Q1311
Q1313,P1889,Q24384
Q1313,P279,Q24384
Q681615,P279,Q43229
Q5413454,P31,Q4830453
Q5413454,P17,Q33
Q5413454,P452,Q43015
Q16917,P279,Q178706
Q23856,P279,Q11422
Q2876213,P279,Q11023
Q43261,P1552,Q126017
Q207822,P279,Q987767
Q39782,P527,Q753
Q39782,P527,Q758
Q39782,P366,Q41207
Q843596,P527,Q42501
Q41487,P361,Q7748
Q41487,P1889,Q7748
Q58964,P366,Q890886
Q58964,P31,Q39546
Q41,P530,Q43
Q41,P530,Q902
Q41,P530,Q928
Q41,P530,Q419
Q41,P530,Q20
Q41,P530,Q96
Q41,P530,Q833
Q41,P530,Q142
Q41,P530,Q298
Q41,P530,Q31
Q41,P530,Q33
Q41,P530,Q35
Q41,P47,Q43
Q41,P463,Q41550
Q41,P31,Q6256
Q728646,P461,Q167037
Q126793,P279,Q601401
Q126793,P461,Q220695
Q29142,P279,Q83267
Q4202277,P1535,Q7188
Q9081,P279,Q492
Q9081,P1889,Q11028
Q9081,P1889,Q42848
Q9081,P1382,Q46744
Q9081,P1382,Q164359
Q6821213,P461,Q194489
Q28823,P279,Q214609
Q28823,P186,Q161
Q28823,P366,Q11460
Q740777,P361,Q39809
Q740777,P527,Q37038
Q748250,P1382,Q7216332
Q4168959,P279,Q83405
Q34302,P1382,Q13649246
Q34302,P1552,Q13649246
Q34302,P1889,Q34394
Q42519,P279,Q9128
Q3947,P527,Q35473
Q3947,P527,Q36794
Q3947,P527,Q180516
Q3947,P527,Q217164
Q3947,P366,Q7743
Q3947,P1889,Q7743
Q80831,P186,Q670
Q80831,P186,Q663
Q80831,P186,Q753
Q11456,P279,Q214609
Q1120961,P31,Q151885
Q928,P530,Q15180
Q928,P530,Q43
Q928,P530,Q869
Q928,P530,Q35
Q928,P530,Q833
Q928,P530,Q96
Q928,P530,Q298
Q928,P530,Q41
Q928,P530,Q902
Q928,P47,Q833
Q928,P31,Q6256
Q928,P122,Q7270
Q504703,P361,Q8434
Q24489,P527,Q623
Q49371,P3095,Q4175034
Q872745,P461,Q220788
Q758,P279,Q214609
Q758,P366,Q175233
Q15290,P279,Q211364
Q660651,P279,Q49848
Q956,P31,Q515
Q956,P190,Q365
Q956,P190,Q2887
Q214339,P527,Q9332
Q214339,P527,Q2648051
Q52946,P461,Q9510
Q52946,P279,Q11024
Q52946,P366,Q11024
Q83323,P366,Q11451
Q83323,P279,Q79529
Q515,P279,Q177634
Q515,P1889,Q3957
Q515,P3729,Q3957
Q384475,P31,Q151885
Q3548078,P31,Q4830453
Q178561,P361,Q198
Q178561,P279,Q650711
Q203607,P31,Q8142
Q9510,P1552,Q468777
Q9510,P31,Q151885
Q9510,P1889,Q10494269
Q2207370,P279,Q14745
Q131734,P279,Q4830453
Q131734,P1056,Q44
Q131734,P1889,Q187456
Q869095,P1056,Q44
Q869095,P279,Q187939
Q869095,P3095,Q131734
Q194166,P279,Q43229
Q41298,P279,Q43229
Q40843,P279,Q80071
Q2,P527,Q3230
Q2,P397,Q525
Q2,P1889,Q11081619
Q2,P1889,Q36133
Q2,P460,Q16502
Q2,P138,Q36133
Q716894,P2670,Q1400881
Q716894,P1382,Q157171
Q716894,P279,Q93288
Q328554,P31,Q151885
